batch,task_id,arm,historical_arm_label,attempt,run_path,wall_time_seconds,primary_tokens,trajectory_length,resolved,clean,clean_note,usage_reported,timed_out
"evidence-bounded-probe-v1","full-boltons-wraps-forwarding","new-md","evidence-bounded",3,"runs/dev-v2/evidence-bounded-probe-v1/full-boltons-wraps-forwarding/evidence-bounded/attempt-3",306.0866863330011,68002,29,true,true,"",true,false
"evidence-bounded-probe-v1","full-click-stream-lifecycle","old-md","previous",3,"runs/dev-v2/evidence-bounded-probe-v1/full-click-stream-lifecycle/previous/attempt-3",287.79335256099876,108051,30,true,true,"",true,false
"evidence-bounded-probe-v1","full-click-stream-lifecycle","new-md","evidence-bounded",1,"runs/dev-v2/evidence-bounded-probe-v1/full-click-stream-lifecycle/evidence-bounded/attempt-1",210.78981751399988,54768,22,true,true,"",true,false
"evidence-bounded-probe-v1","full-click-stream-lifecycle","new-md","evidence-bounded",2,"runs/dev-v2/evidence-bounded-probe-v1/full-click-stream-lifecycle/evidence-bounded/attempt-2",148.09761519900349,55170,12,true,true,"",true,false
"evidence-bounded-probe-v1","full-click-stream-lifecycle","new-md","evidence-bounded",3,"runs/dev-v2/evidence-bounded-probe-v1/full-click-stream-lifecycle/evidence-bounded/attempt-3",265.4973207680014,96142,16,true,true,"",true,false
"evidence-bounded-probe-v1","full-flask-automatic-options","old-md","previous",1,"runs/dev-v2/evidence-bounded-probe-v1/full-flask-automatic-options/previous/attempt-1",110.03821278900432,45170,18,true,true,"",true,false
"evidence-bounded-probe-v1","full-flask-automatic-options","old-md","previous",2,"runs/dev-v2/evidence-bounded-probe-v1/full-flask-automatic-options/previous/attempt-2",116.52973964299599,44300,16,true,true,"",true,false
"evidence-bounded-probe-v1","full-flask-automatic-options","old-md","previous",3,"runs/dev-v2/evidence-bounded-probe-v1/full-flask-automatic-options/previous/attempt-3",96.16199063901149,26448,18,true,true,"",true,false
"evidence-bounded-probe-v1","full-flask-automatic-options","new-md","evidence-bounded",1,"runs/dev-v2/evidence-bounded-probe-v1/full-flask-automatic-options/evidence-bounded/attempt-1",97.66078210600244,28938,15,true,true,"",true,false
"evidence-bounded-probe-v1","full-flask-automatic-options","new-md","evidence-bounded",2,"runs/dev-v2/evidence-bounded-probe-v1/full-flask-automatic-options/evidence-bounded/attempt-2",102.77402922300098,44797,17,true,true,"",true,false
"evidence-bounded-probe-v1","full-flask-automatic-options","new-md","evidence-bounded",3,"runs/dev-v2/evidence-bounded-probe-v1/full-flask-automatic-options/evidence-bounded/attempt-3",115.59302303100412,40107,10,true,true,"",true,false
"evidence-bounded-probe-v1","full-starlette-websocket-denial","old-md","previous",1,"runs/dev-v2/evidence-bounded-probe-v1/full-starlette-websocket-denial/previous/attempt-1",565.7296802790079,150749,48,true,true,"",true,false
"evidence-bounded-probe-v1","full-starlette-websocket-denial","old-md","previous",2,"runs/dev-v2/evidence-bounded-probe-v1/full-starlette-websocket-denial/previous/attempt-2",319.4377731429995,84622,32,false,true,"",true,false
"evidence-bounded-probe-v1","full-starlette-websocket-denial","old-md","previous",3,"runs/dev-v2/evidence-bounded-probe-v1/full-starlette-websocket-denial/previous/attempt-3",735.8391748639988,118490,46,true,true,"",true,false
"evidence-bounded-probe-v1","full-starlette-websocket-denial","new-md","evidence-bounded",1,"runs/dev-v2/evidence-bounded-probe-v1/full-starlette-websocket-denial/evidence-bounded/attempt-1",155.13944196399825,41629,13,true,true,"",true,false
"evidence-bounded-probe-v1","full-starlette-websocket-denial","new-md","evidence-bounded",2,"runs/dev-v2/evidence-bounded-probe-v1/full-starlette-websocket-denial/evidence-bounded/attempt-2",220.47817915299674,75440,24,false,true,"",true,false
"evidence-bounded-probe-v1","full-starlette-websocket-denial","new-md","evidence-bounded",3,"runs/dev-v2/evidence-bounded-probe-v1/full-starlette-websocket-denial/evidence-bounded/attempt-3",231.1384438219975,56257,20,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-boltons-wraps-forwarding","no-md","null",1,"runs/dev-v2/evidence-bounded-vs-null-v1/full-boltons-wraps-forwarding/null/attempt-1",285.7408009889914,70394,15,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-boltons-wraps-forwarding","no-md","null",2,"runs/dev-v2/evidence-bounded-vs-null-v1/full-boltons-wraps-forwarding/null/attempt-2",338.87550346399075,76589,16,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-boltons-wraps-forwarding","no-md","null",3,"runs/dev-v2/evidence-bounded-vs-null-v1/full-boltons-wraps-forwarding/null/attempt-3",383.74109482200583,91679,23,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-boltons-wraps-forwarding","new-md","evidence-bounded",1,"runs/dev-v2/evidence-bounded-vs-null-v1/full-boltons-wraps-forwarding/evidence-bounded/attempt-1",326.7050296219968,125927,24,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-boltons-wraps-forwarding","new-md","evidence-bounded",2,"runs/dev-v2/evidence-bounded-vs-null-v1/full-boltons-wraps-forwarding/evidence-bounded/attempt-2",303.5849372139928,61557,23,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-boltons-wraps-forwarding","new-md","evidence-bounded",3,"runs/dev-v2/evidence-bounded-vs-null-v1/full-boltons-wraps-forwarding/evidence-bounded/attempt-3",302.1141989290045,95426,26,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-click-stream-lifecycle","no-md","null",1,"runs/dev-v2/evidence-bounded-vs-null-v1/full-click-stream-lifecycle/null/attempt-1",331.0046019410074,109044,22,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-click-stream-lifecycle","no-md","null",3,"runs/dev-v2/evidence-bounded-vs-null-v1/full-click-stream-lifecycle/null/attempt-3",371.4500090290094,129882,27,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-click-stream-lifecycle","new-md","evidence-bounded",1,"runs/dev-v2/evidence-bounded-vs-null-v1/full-click-stream-lifecycle/evidence-bounded/attempt-1",286.4067757719895,66828,15,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-click-stream-lifecycle","new-md","evidence-bounded",2,"runs/dev-v2/evidence-bounded-vs-null-v1/full-click-stream-lifecycle/evidence-bounded/attempt-2",247.20083078699827,46411,18,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-click-stream-lifecycle","new-md","evidence-bounded",3,"runs/dev-v2/evidence-bounded-vs-null-v1/full-click-stream-lifecycle/evidence-bounded/attempt-3",189.25179886700062,66026,15,false,true,"",true,false
"evidence-bounded-vs-null-v1","full-flask-automatic-options","no-md","null",1,"runs/dev-v2/evidence-bounded-vs-null-v1/full-flask-automatic-options/null/attempt-1",131.25288188100967,69262,20,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-flask-automatic-options","no-md","null",2,"runs/dev-v2/evidence-bounded-vs-null-v1/full-flask-automatic-options/null/attempt-2",135.31397614600428,47506,19,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-flask-automatic-options","no-md","null",3,"runs/dev-v2/evidence-bounded-vs-null-v1/full-flask-automatic-options/null/attempt-3",126.36110011200071,51161,18,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-flask-automatic-options","new-md","evidence-bounded",1,"runs/dev-v2/evidence-bounded-vs-null-v1/full-flask-automatic-options/evidence-bounded/attempt-1",113.24562664498808,57607,12,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-flask-automatic-options","new-md","evidence-bounded",2,"runs/dev-v2/evidence-bounded-vs-null-v1/full-flask-automatic-options/evidence-bounded/attempt-2",103.76192835699476,58220,11,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-flask-automatic-options","new-md","evidence-bounded",3,"runs/dev-v2/evidence-bounded-vs-null-v1/full-flask-automatic-options/evidence-bounded/attempt-3",115.94482512999093,35209,21,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-starlette-websocket-denial","no-md","null",1,"runs/dev-v2/evidence-bounded-vs-null-v1/full-starlette-websocket-denial/null/attempt-1",198.4731871069962,66875,27,false,true,"",true,false
"evidence-bounded-vs-null-v1","full-starlette-websocket-denial","no-md","null",2,"runs/dev-v2/evidence-bounded-vs-null-v1/full-starlette-websocket-denial/null/attempt-2",229.9928459169896,64734,14,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-starlette-websocket-denial","no-md","null",3,"runs/dev-v2/evidence-bounded-vs-null-v1/full-starlette-websocket-denial/null/attempt-3",498.0146615959966,146146,29,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-starlette-websocket-denial","new-md","evidence-bounded",1,"runs/dev-v2/evidence-bounded-vs-null-v1/full-starlette-websocket-denial/evidence-bounded/attempt-1",252.45855247399595,55287,14,false,true,"",true,false
"evidence-bounded-vs-null-v1","full-starlette-websocket-denial","new-md","evidence-bounded",2,"runs/dev-v2/evidence-bounded-vs-null-v1/full-starlette-websocket-denial/evidence-bounded/attempt-2",333.08041093799693,69674,11,true,true,"",true,false
"evidence-bounded-vs-null-v1","full-starlette-websocket-denial","new-md","evidence-bounded",3,"runs/dev-v2/evidence-bounded-vs-null-v1/full-starlette-websocket-denial/evidence-bounded/attempt-3",154.25015331000031,77778,12,false,true,"",true,false
"evidence-bounded-vs-null-v2","full-boltons-wraps-forwarding","no-md","null",1,"runs/dev-v2/evidence-bounded-vs-null-v2/full-boltons-wraps-forwarding/null/attempt-1",449.2822598479979,68250,17,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-boltons-wraps-forwarding","no-md","null",2,"runs/dev-v2/evidence-bounded-vs-null-v2/full-boltons-wraps-forwarding/null/attempt-2",334.375729537991,96096,24,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-boltons-wraps-forwarding","no-md","null",3,"runs/dev-v2/evidence-bounded-vs-null-v2/full-boltons-wraps-forwarding/null/attempt-3",305.65576372000214,71843,18,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-boltons-wraps-forwarding","new-md","evidence-bounded",1,"runs/dev-v2/evidence-bounded-vs-null-v2/full-boltons-wraps-forwarding/evidence-bounded/attempt-1",233.7736202570086,80601,21,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-boltons-wraps-forwarding","new-md","evidence-bounded",2,"runs/dev-v2/evidence-bounded-vs-null-v2/full-boltons-wraps-forwarding/evidence-bounded/attempt-2",242.22830553801032,46220,20,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-boltons-wraps-forwarding","new-md","evidence-bounded",3,"runs/dev-v2/evidence-bounded-vs-null-v2/full-boltons-wraps-forwarding/evidence-bounded/attempt-3",211.6873003260116,88750,20,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-click-stream-lifecycle","no-md","null",1,"runs/dev-v2/evidence-bounded-vs-null-v2/full-click-stream-lifecycle/null/attempt-1",341.83106310199946,116909,30,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-click-stream-lifecycle","no-md","null",2,"runs/dev-v2/evidence-bounded-vs-null-v2/full-click-stream-lifecycle/null/attempt-2",265.36576424501254,77955,34,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-click-stream-lifecycle","no-md","null",3,"runs/dev-v2/evidence-bounded-vs-null-v2/full-click-stream-lifecycle/null/attempt-3",276.7969455529819,86371,31,true,true,"blocked_lookup_no_external_bytes",true,false
"evidence-bounded-vs-null-v2","full-click-stream-lifecycle","new-md","evidence-bounded",1,"runs/dev-v2/evidence-bounded-vs-null-v2/full-click-stream-lifecycle/evidence-bounded/attempt-1",260.81649372001993,56540,23,false,true,"",true,false
"evidence-bounded-vs-null-v2","full-click-stream-lifecycle","new-md","evidence-bounded",2,"runs/dev-v2/evidence-bounded-vs-null-v2/full-click-stream-lifecycle/evidence-bounded/attempt-2",259.08675898899673,55897,13,false,true,"",true,false
"evidence-bounded-vs-null-v2","full-click-stream-lifecycle","new-md","evidence-bounded",3,"runs/dev-v2/evidence-bounded-vs-null-v2/full-click-stream-lifecycle/evidence-bounded/attempt-3",277.2813535119931,62357,23,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-flask-automatic-options","no-md","null",1,"runs/dev-v2/evidence-bounded-vs-null-v2/full-flask-automatic-options/null/attempt-1",127.77708438500122,64119,19,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-flask-automatic-options","no-md","null",2,"runs/dev-v2/evidence-bounded-vs-null-v2/full-flask-automatic-options/null/attempt-2",184.1844318240037,56260,24,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-flask-automatic-options","no-md","null",3,"runs/dev-v2/evidence-bounded-vs-null-v2/full-flask-automatic-options/null/attempt-3",170.38338389599812,44037,21,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-flask-automatic-options","new-md","evidence-bounded",1,"runs/dev-v2/evidence-bounded-vs-null-v2/full-flask-automatic-options/evidence-bounded/attempt-1",109.88837108800362,35772,10,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-flask-automatic-options","new-md","evidence-bounded",2,"runs/dev-v2/evidence-bounded-vs-null-v2/full-flask-automatic-options/evidence-bounded/attempt-2",115.31738509699062,30015,10,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-flask-automatic-options","new-md","evidence-bounded",3,"runs/dev-v2/evidence-bounded-vs-null-v2/full-flask-automatic-options/evidence-bounded/attempt-3",116.2003485969908,51150,11,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-starlette-websocket-denial","no-md","null",1,"runs/dev-v2/evidence-bounded-vs-null-v2/full-starlette-websocket-denial/null/attempt-1",655.1160096300009,194166,34,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-starlette-websocket-denial","no-md","null",2,"runs/dev-v2/evidence-bounded-vs-null-v2/full-starlette-websocket-denial/null/attempt-2",531.9962500330003,111354,49,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-starlette-websocket-denial","no-md","null",3,"runs/dev-v2/evidence-bounded-vs-null-v2/full-starlette-websocket-denial/null/attempt-3",606.6713311889907,100854,38,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-starlette-websocket-denial","new-md","evidence-bounded",1,"runs/dev-v2/evidence-bounded-vs-null-v2/full-starlette-websocket-denial/evidence-bounded/attempt-1",305.1040034780017,74015,15,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-starlette-websocket-denial","new-md","evidence-bounded",2,"runs/dev-v2/evidence-bounded-vs-null-v2/full-starlette-websocket-denial/evidence-bounded/attempt-2",303.43542553701263,55287,22,true,true,"",true,false
"evidence-bounded-vs-null-v2","full-starlette-websocket-denial","new-md","evidence-bounded",3,"runs/dev-v2/evidence-bounded-vs-null-v2/full-starlette-websocket-denial/evidence-bounded/attempt-3",352.58809153799666,73313,35,true,true,"",true,false
"maximum-difficulty-sealed-v1","full-boltons-wraps-forwarding","no-md","null",1,"runs/dev-v2/maximum-difficulty-sealed-v1/full-boltons-wraps-forwarding/null/attempt-1",427.8100323220715,83917,33,true,true,"",true,false
"maximum-difficulty-sealed-v1","full-boltons-wraps-forwarding","no-md","null",2,"runs/dev-v2/maximum-difficulty-sealed-v1/full-boltons-wraps-forwarding/null/attempt-2",566.7803665820975,143081,26,true,true,"",true,false
"maximum-difficulty-sealed-v1","full-boltons-wraps-forwarding","no-md","null",3,"runs/dev-v2/maximum-difficulty-sealed-v1/full-boltons-wraps-forwarding/null/attempt-3",334.02355643501505,84812,16,true,true,"",true,false
"maximum-difficulty-sealed-v1","full-flask-automatic-options","no-md","null",2,"runs/dev-v2/maximum-difficulty-sealed-v1/full-flask-automatic-options/null/attempt-2",159.1125155671034,48168,15,true,true,"",true,false
"maximum-difficulty-sealed-v1","full-flask-automatic-options","no-md","null",3,"runs/dev-v2/maximum-difficulty-sealed-v1/full-flask-automatic-options/null/attempt-3",142.74071632907726,57895,24,true,true,"",true,false
"maximum-difficulty-search-disabled-v2","full-boltons-wraps-forwarding","no-md","null",1,"runs/dev-v2/maximum-difficulty-search-disabled-v2/full-boltons-wraps-forwarding/null/attempt-1",395.3571434789337,128378,42,true,true,"",true,false
"maximum-difficulty-search-disabled-v2","full-boltons-wraps-forwarding","no-md","null",2,"runs/dev-v2/maximum-difficulty-search-disabled-v2/full-boltons-wraps-forwarding/null/attempt-2",446.5627565931063,68776,26,true,true,"",true,false
"maximum-difficulty-search-disabled-v2","full-boltons-wraps-forwarding","no-md","null",3,"runs/dev-v2/maximum-difficulty-search-disabled-v2/full-boltons-wraps-forwarding/null/attempt-3",461.0287257039454,77361,26,true,true,"",true,false
"maximum-difficulty-search-disabled-v2","full-click-stream-lifecycle","no-md","null",1,"runs/dev-v2/maximum-difficulty-search-disabled-v2/full-click-stream-lifecycle/null/attempt-1",612.0134487759788,"",35,true,true,"",false,true
"maximum-difficulty-search-disabled-v2","full-click-stream-lifecycle","no-md","null",2,"runs/dev-v2/maximum-difficulty-search-disabled-v2/full-click-stream-lifecycle/null/attempt-2",348.20980697404593,52874,12,true,true,"",true,false
"maximum-difficulty-search-disabled-v2","full-click-stream-lifecycle","no-md","null",3,"runs/dev-v2/maximum-difficulty-search-disabled-v2/full-click-stream-lifecycle/null/attempt-3",352.8992704418488,85413,17,true,true,"blocked_lookup_no_external_bytes",true,false
"maximum-difficulty-search-disabled-v2","full-flask-automatic-options","no-md","null",1,"runs/dev-v2/maximum-difficulty-search-disabled-v2/full-flask-automatic-options/null/attempt-1",201.50817147502676,71391,27,true,true,"",true,false
"maximum-difficulty-search-disabled-v2","full-flask-automatic-options","no-md","null",2,"runs/dev-v2/maximum-difficulty-search-disabled-v2/full-flask-automatic-options/null/attempt-2",160.8776622058358,84772,21,true,true,"",true,false
"maximum-difficulty-search-disabled-v2","full-flask-automatic-options","no-md","null",3,"runs/dev-v2/maximum-difficulty-search-disabled-v2/full-flask-automatic-options/null/attempt-3",153.3600490258541,33447,21,true,true,"",true,false
"maximum-difficulty-search-disabled-v2","full-starlette-websocket-denial","no-md","null",1,"runs/dev-v2/maximum-difficulty-search-disabled-v2/full-starlette-websocket-denial/null/attempt-1",612.2599502441008,"",34,true,true,"",false,true
"maximum-difficulty-search-disabled-v2","full-starlette-websocket-denial","no-md","null",2,"runs/dev-v2/maximum-difficulty-search-disabled-v2/full-starlette-websocket-denial/null/attempt-2",600.5617966621649,155867,47,true,true,"",true,false
"maximum-difficulty-search-disabled-v2","full-starlette-websocket-denial","no-md","null",3,"runs/dev-v2/maximum-difficulty-search-disabled-v2/full-starlette-websocket-denial/null/attempt-3",611.4036575630307,"",40,true,true,"",false,true
